CMDLINE /home/pacera/.pyenv/versions/3.6.1/envs/pyCHiC/bin/python run_pyCHiC.py
MEM 1.820312 1550828475.2221
MEM 14.972656 1550828475.3225
MEM 25.406250 1550828475.4229
MEM 35.058594 1550828475.5233
MEM 43.070312 1550828475.6237
MEM 57.125000 1550828475.7241
MEM 69.269531 1550828475.8245
MEM 72.191406 1550828475.9248
MEM 88.351562 1550828476.0252
MEM 95.546875 1550828476.1256
MEM 105.074219 1550828476.2259
MEM 115.832031 1550828476.3263
MEM 138.699219 1550828476.4273
MEM 149.496094 1550828476.5277
MEM 155.523438 1550828476.6281
MEM 168.175781 1550828476.7287
MEM 184.796875 1550828476.8291
MEM 179.089844 1550828476.9296
MEM 202.937500 1550828477.0300
MEM 218.171875 1550828477.1304
MEM 229.949219 1550828477.2307
MEM 245.613281 1550828477.3312
MEM 246.902344 1550828477.4317
MEM 249.847656 1550828477.5321
MEM 262.406250 1550828477.6327
MEM 263.558594 1550828477.7333
MEM 264.683594 1550828477.8338
MEM 267.519531 1550828477.9343
MEM 267.519531 1550828478.0347
MEM 267.519531 1550828478.1352
MEM 257.554688 1550828478.2357
MEM 304.175781 1550828478.3361
MEM 304.429688 1550828478.4371
MEM 305.976562 1550828478.5376
MEM 305.976562 1550828478.6380
MEM 305.976562 1550828478.7384
MEM 306.261719 1550828478.8393
MEM 306.261719 1550828478.9404
MEM 304.519531 1550828479.0408
MEM 308.351562 1550828479.1413
MEM 336.890625 1550828479.2419
MEM 353.695312 1550828479.3428
MEM 366.328125 1550828479.4433
MEM 406.601562 1550828479.5443
MEM 399.144531 1550828479.6448
MEM 400.949219 1550828479.7452
MEM 400.949219 1550828479.8457
MEM 401.101562 1550828479.9461
MEM 401.105469 1550828480.0465
MEM 401.105469 1550828480.1470
MEM 401.125000 1550828480.2475
MEM 401.125000 1550828480.3482
MEM 427.449219 1550828480.4488
MEM 344.496094 1550828480.5494
MEM 365.351562 1550828480.6499
MEM 374.359375 1550828480.7505
MEM 376.917969 1550828480.8509
MEM 392.898438 1550828480.9513
MEM 409.914062 1550828481.0518
MEM 409.914062 1550828481.1522
MEM 411.449219 1550828481.2526
MEM 412.949219 1550828481.3530
MEM 414.449219 1550828481.4534
MEM 415.949219 1550828481.5539
MEM 417.199219 1550828481.6543
MEM 410.312500 1550828481.7547
MEM 410.312500 1550828481.8551
MEM 410.566406 1550828481.9555
MEM 410.820312 1550828482.0559
MEM 411.078125 1550828482.1564
MEM 411.078125 1550828482.2568
MEM 413.109375 1550828482.3572
MEM 411.566406 1550828482.4578
MEM 411.566406 1550828482.5583
MEM 418.042969 1550828482.6587
MEM 418.042969 1550828482.7592
MEM 435.574219 1550828482.8596
MEM 445.628906 1550828482.9600
MEM 463.417969 1550828483.0604
MEM 472.085938 1550828483.1609
MEM 478.273438 1550828483.2613
MEM 478.273438 1550828483.3617
MEM 478.273438 1550828483.4621
MEM 478.273438 1550828483.5624
MEM 478.789062 1550828483.6628
MEM 483.945312 1550828483.7632
MEM 483.945312 1550828483.8636
MEM 483.945312 1550828483.9641
MEM 483.945312 1550828484.0645
MEM 483.945312 1550828484.1649
MEM 483.945312 1550828484.2653
MEM 483.945312 1550828484.3657
MEM 483.945312 1550828484.4661
MEM 483.945312 1550828484.5665
MEM 483.945312 1550828484.6668
MEM 483.945312 1550828484.7672
MEM 483.945312 1550828484.8676
MEM 483.945312 1550828484.9680
MEM 483.945312 1550828485.0683
MEM 483.945312 1550828485.1687
MEM 483.945312 1550828485.2691
MEM 483.945312 1550828485.3695
MEM 483.945312 1550828485.4701
MEM 483.945312 1550828485.5705
MEM 483.945312 1550828485.6709
MEM 483.945312 1550828485.7712
MEM 483.945312 1550828485.8716
MEM 483.945312 1550828485.9720
MEM 483.945312 1550828486.0724
MEM 483.945312 1550828486.1728
MEM 483.945312 1550828486.2732
MEM 483.945312 1550828486.3736
MEM 483.945312 1550828486.4739
MEM 483.945312 1550828486.5744
MEM 483.945312 1550828486.6747
MEM 483.945312 1550828486.7751
MEM 483.945312 1550828486.8755
MEM 483.945312 1550828486.9759
MEM 483.945312 1550828487.0763
MEM 504.371094 1550828487.1767
MEM 504.371094 1550828487.2772
MEM 504.371094 1550828487.3776
MEM 504.371094 1550828487.4779
MEM 504.371094 1550828487.5782
MEM 504.371094 1550828487.6787
MEM 504.371094 1550828487.7791
MEM 504.371094 1550828487.8794
MEM 504.371094 1550828487.9798
MEM 504.371094 1550828488.0802
MEM 504.371094 1550828488.1806
MEM 504.371094 1550828488.2810
MEM 504.371094 1550828488.3814
MEM 504.371094 1550828488.4818
MEM 504.371094 1550828488.5822
MEM 504.371094 1550828488.6826
MEM 504.371094 1550828488.7829
MEM 504.371094 1550828488.8833
MEM 504.371094 1550828488.9837
MEM 504.371094 1550828489.0840
MEM 504.371094 1550828489.1846
MEM 504.371094 1550828489.2851
MEM 504.371094 1550828489.3854
MEM 504.371094 1550828489.4859
MEM 504.371094 1550828489.5863
MEM 504.371094 1550828489.6867
MEM 504.371094 1550828489.7870
MEM 504.371094 1550828489.8874
MEM 504.371094 1550828489.9879
MEM 504.371094 1550828490.0883
MEM 504.371094 1550828490.1887
MEM 504.371094 1550828490.2891
MEM 504.371094 1550828490.3895
MEM 504.371094 1550828490.4899
MEM 504.371094 1550828490.5904
MEM 504.371094 1550828490.6909
MEM 504.371094 1550828490.7912
MEM 504.371094 1550828490.8916
MEM 504.371094 1550828490.9920
MEM 504.207031 1550828491.0924
MEM 505.710938 1550828491.1928
MEM 508.207031 1550828491.2932
MEM 504.207031 1550828491.3936
MEM 504.234375 1550828491.4939
MEM 504.234375 1550828491.5944
MEM 549.554688 1550828491.6948
MEM 530.144531 1550828491.7952
MEM 519.441406 1550828491.8956
MEM 539.542969 1550828491.9960
MEM 539.777344 1550828492.0964
MEM 539.855469 1550828492.1969
MEM 539.855469 1550828492.2973
MEM 539.855469 1550828492.3977
MEM 539.855469 1550828492.4982
MEM 539.855469 1550828492.5986
MEM 539.855469 1550828492.6990
MEM 539.855469 1550828492.7994
MEM 539.855469 1550828492.8998
MEM 539.855469 1550828493.0002
MEM 539.855469 1550828493.1005
MEM 539.855469 1550828493.2009
MEM 539.855469 1550828493.3012
MEM 539.855469 1550828493.4016
MEM 539.855469 1550828493.5019
MEM 539.855469 1550828493.6023
MEM 539.855469 1550828493.7026
MEM 539.855469 1550828493.8030
MEM 539.855469 1550828493.9033
MEM 539.855469 1550828494.0037
MEM 539.855469 1550828494.1040
MEM 539.855469 1550828494.2044
MEM 539.855469 1550828494.3049
MEM 570.242188 1550828494.4055
MEM 602.292969 1550828494.5060
MEM 576.312500 1550828494.6064
MEM 576.312500 1550828494.7069
MEM 576.437500 1550828494.8072
MEM 578.417969 1550828494.9076
MEM 578.656250 1550828495.0080
MEM 579.070312 1550828495.1084
MEM 579.070312 1550828495.2100
MEM 579.070312 1550828495.3112
MEM 579.199219 1550828495.4117
MEM 579.972656 1550828495.5120
MEM 580.179688 1550828495.6127
FUNC CHiC.tool.pyCHiC.readSample 163.1406 1550828476.7150 229.9492 1550828477.2279
MEM 580.304688 1550828495.7132
MEM 580.578125 1550828495.8137
MEM 580.718750 1550828495.9141
MEM 581.089844 1550828496.0150
MEM 581.531250 1550828496.1155
MEM 581.738281 1550828496.2159
MEM 510.597656 1550828496.3165
MEM 510.699219 1550828496.4169
MEM 510.699219 1550828496.5173
MEM 510.449219 1550828496.6178
MEM 506.949219 1550828496.7182
MEM 0.000000 1550828496.8187
